disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
MDDeur	prscs	baseline_thickness	EUR	4116	3447	1030817	-0.0253816249224025	0.0159591435502155	0.111819148198893	1	0.111819148198893	0.000644226883701524
MDDeur	prscs	global_slope	EUR	4116	3447	1030817	-0.0115433594061196	0.0151693591166902	0.446724398790234	1	0.446724398790234	0.000133249146378851
MDDeur	prscs	slope_PC1	EUR	4116	3447	1030817	-0.000351714463208077	0.0157179465701884	0.982148719658591	1	0.982148719658591	1.23703063629746e-07
MDDeur	prscs	slope_PC2	EUR	4116	3447	1030817	0.0131695527376265	0.0160771161927429	0.412752035866497	1	0.412752035866497	0.000173437119309126
MDDeur	prscs	slope_PC3	EUR	4116	3447	1030817	-0.004829522831776	0.0159315441281005	0.761797955593961	1	0.761797955593961	2.33242907826457e-05
MDDeur	prscs	baseline_thickness	full	8082	6789	1030817	-0.0118244949156699	0.0112361755382824	0.292666649110868	1	0.292666649110868	0.000139818680010702
MDDeur	prscs	global_slope	full	8082	6789	1030817	-0.0136303830978833	0.0108894872461471	0.210717686937083	1	0.210717686937083	0.000185787343395063
MDDeur	prscs	slope_PC1	full	8082	6789	1030817	0.0146438813558355	0.0112486961867924	0.193014896254038	1	0.193014896254038	0.000214443261163787
MDDeur	prscs	slope_PC2	full	8082	6789	1030817	0.022745925674961	0.0114695604885151	0.0473860174911612	1	0.0473860174911612	0.000517377134810852
MDDeur	prscs	slope_PC3	full	8082	6789	1030817	-0.00481100113776215	0.0112603221509072	0.669207616510162	1	0.669207616510162	2.31457319475487e-05
