disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
SCZeur	prscs	baseline_thickness	EUR	4116	3447	1088629	0.0100013047000683	0.0166189021964322	0.54733865265839	1	0.54733865265839	0.000100026095703608
SCZeur	prscs	global_slope	EUR	4116	3447	1088629	-0.0265446967058866	0.0157695606539496	0.0924020027712195	1	0.0924020027712195	0.000704620923207505
SCZeur	prscs	slope_PC1	EUR	4116	3447	1088629	0.0248859780383441	0.016334519414671	0.127714167755135	1	0.127714167755135	0.000619311902924943
SCZeur	prscs	slope_PC2	EUR	4116	3447	1088629	0.0150476649420372	0.0167217050838108	0.368236596439922	1	0.368236596439922	0.000226432220207815
SCZeur	prscs	slope_PC3	EUR	4116	3447	1088629	-0.00695250174255807	0.0165751857044603	0.67490928162037	1	0.67490928162037	4.8337280480273e-05
SCZeur	prscs	baseline_thickness	full	8082	6789	1088629	-0.00812462052105937	0.0269181167449644	0.762791585433585	1	0.762791585433585	6.6009458611219e-05
SCZeur	prscs	global_slope	full	8082	6789	1088629	-0.0443208116234746	0.0261663599841824	0.0903428719075845	1	0.0903428719075845	0.00196433434296352
SCZeur	prscs	slope_PC1	full	8082	6789	1088629	0.0699568672710939	0.0270231163813165	0.00965033483361303	1	0.00965033483361303	0.00489396327838545
SCZeur	prscs	slope_PC2	full	8082	6789	1088629	0.0333049079337987	0.0275653250609868	0.227001109934554	1	0.227001109934554	0.00110921689247881
SCZeur	prscs	slope_PC3	full	8082	6789	1088629	-0.0514944605328775	0.0270525187444933	0.0570133109221106	1	0.0570133109221106	0.00265167946557207
