disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
SCZeur	prscs	baseline_thickness	EUR	4116	3447		0.0100013147537236	0.0166189022518804	0.547338251300437	1	0.547338251300437	0.00010002629680305
SCZeur	prscs	global_slope	EUR	4116	3447		-0.0265446907919645	0.0157695606727774	0.0924020757312651	1	0.0924020757312651	0.000704620609241004
SCZeur	prscs	slope_PC1	EUR	4116	3447		0.0248859652477894	0.0163345194318683	0.127714363902757	1	0.127714363902757	0.00061931126631418
SCZeur	prscs	slope_PC2	EUR	4116	3447		0.0150476577785804	0.0167217051038008	0.368236824984216	1	0.368236824984216	0.000226432004621271
SCZeur	prscs	slope_PC3	EUR	4116	3447		-0.0069524931127049	0.0165751857258236	0.674909662417241	1	0.674909662417241	4.83371604822091e-05
SCZeur	prscs	baseline_thickness	full	8082	6789		0.00882352969799839	0.0113858457932933	0.43838867060341	1	0.43838867060341	7.78546763314596e-05
SCZeur	prscs	global_slope	full	8082	6789		-0.0141278376244164	0.0110284437198773	0.200220599737066	1	0.200220599737066	0.000199595795941876
SCZeur	prscs	slope_PC1	full	8082	6789		0.0198473043848833	0.0113906729341717	0.0814769024353935	1	0.0814769024353935	0.000393915491346208
SCZeur	prscs	slope_PC2	full	8082	6789		0.0131423233454093	0.011619463086285	0.258065283585903	1	0.258065283585903	0.00017272066291529
SCZeur	prscs	slope_PC3	full	8082	6789		-0.00503258922665808	0.0114050396508444	0.659037432605993	1	0.659037432605993	2.5326954324275e-05
