disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
SCZpooled	prscs	baseline_thickness	EUR	4116	3447	1088729	0.00098202784490473	0.0163079967792189	0.951985292656914	1	0.951985292656914	9.64378688168229e-07
SCZpooled	prscs	global_slope	EUR	4116	3447	1088729	-0.0212027699833366	0.015522387530269	0.172035613640517	1	0.172035613640517	0.00044955745496628
SCZpooled	prscs	slope_PC1	EUR	4116	3447	1088729	0.0177465517089032	0.0160825832062961	0.269896703865233	1	0.269896703865233	0.000314940097556775
SCZpooled	prscs	slope_PC2	EUR	4116	3447	1088729	0.00477936319477572	0.0164563206663002	0.771505065638598	1	0.771505065638598	2.28423125475768e-05
SCZpooled	prscs	slope_PC3	EUR	4116	3447	1088729	-0.00328115230882546	0.0163064268350819	0.840538504735493	1	0.840538504735493	1.07659604737106e-05
SCZpooled	prscs	baseline_thickness	full	8082	6789	1088729	-0.011186621952626	0.017869500283941	0.531321155467659	1	0.531321155467659	0.000125140510710974
SCZpooled	prscs	global_slope	full	8082	6789	1088729	-0.0247957276256473	0.0173848840684666	0.15382846517532	1	0.15382846517532	0.00061482810848529
SCZpooled	prscs	slope_PC1	full	8082	6789	1088729	0.0421871772284609	0.0179544444033767	0.0188153479401161	1	0.0188153479401161	0.00177975792250557
SCZpooled	prscs	slope_PC2	full	8082	6789	1088729	0.020884135784569	0.0183122365154897	0.254135820203876	1	0.254135820203876	0.000436147127468315
SCZpooled	prscs	slope_PC3	full	8082	6789	1088729	-0.029098674681291	0.0179729641715495	0.105483463325718	1	0.105483463325718	0.000846732868207609
