disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZIGAPnoAPOE	sbrc	baseline_thickness	EUR	4116	3447	1154522	-0.0181685690965059	0.0159771665348745	0.255538506294009	1	0.255538506294009	0.000330096903014509
ALZIGAPnoAPOE	sbrc	global_slope	EUR	4116	3447	1154522	0.00431054409903726	0.0152464969870143	0.777403917232929	1	0.777403917232929	1.8580790429745e-05
ALZIGAPnoAPOE	sbrc	slope_PC1	EUR	4116	3447	1154522	0.0174390875247216	0.0157955360992521	0.26964113760134	1	0.26964113760134	0.000304121773694902
ALZIGAPnoAPOE	sbrc	slope_PC2	EUR	4116	3447	1154522	0.0202170798992282	0.0161543745033525	0.210830271572333	1	0.210830271572333	0.000408730319651779
ALZIGAPnoAPOE	sbrc	slope_PC3	EUR	4116	3447	1154522	-0.0285027550205301	0.0159982245273882	0.0748897050724676	1	0.0748897050724676	0.000812407043760355
ALZIGAPnoAPOE	sbrc	baseline_thickness	full	8082	6789	1154522	-0.000210554100187434	0.0219861834768488	0.992359288482037	1	0.992359288482037	4.433302910574e-08
ALZIGAPnoAPOE	sbrc	global_slope	full	8082	6789	1154522	0.00752675771879455	0.0214479207642214	0.725649126336471	1	0.725649126336471	5.66520817574333e-05
ALZIGAPnoAPOE	sbrc	slope_PC1	full	8082	6789	1154522	0.00458011987281035	0.0221610014652018	0.836269376239343	1	0.836269376239343	2.09774980493123e-05
ALZIGAPnoAPOE	sbrc	slope_PC2	full	8082	6789	1154522	0.019360591059025	0.0225852587745942	0.391348493572645	1	0.391348493572645	0.000374832486154799
ALZIGAPnoAPOE	sbrc	slope_PC3	full	8082	6789	1154522	-0.0287037387577264	0.0221685066190097	0.195428764312833	1	0.195428764312833	0.000823904618671804
