disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
MDDpooled	sbrc	baseline_thickness	EUR	4116	3447	1154522	-0.0163815475855324	0.0159899751083891	0.305665277100153	1	0.305665277100153	0.000268355101297064
MDDpooled	sbrc	global_slope	EUR	4116	3447	1154522	-0.0193314547717386	0.0151626470731168	0.202408708766578	1	0.202408708766578	0.000373705143591776
MDDpooled	sbrc	slope_PC1	EUR	4116	3447	1154522	0.00517375093273341	0.0157077239119225	0.741889916552725	1	0.741889916552725	2.67676987139598e-05
MDDpooled	sbrc	slope_PC2	EUR	4116	3447	1154522	0.0194814097525186	0.0160726390569461	0.225554682939612	1	0.225554682939612	0.000379525325945528
MDDpooled	sbrc	slope_PC3	EUR	4116	3447	1154522	0.00472517235701378	0.0159327126426171	0.76681067423437	1	0.76681067423437	2.23272538034871e-05
MDDpooled	sbrc	baseline_thickness	full	8082	6789	1154522	-0.0218475672061485	0.0203486661900952	0.283007062481884	1	0.283007062481884	0.000477316192827174
MDDpooled	sbrc	global_slope	full	8082	6789	1154522	-0.0450060413779437	0.0197516648343811	0.0227189838226012	1	0.0227189838226012	0.00202554376051318
MDDpooled	sbrc	slope_PC1	full	8082	6789	1154522	0.0373999651981037	0.0204050952420163	0.0668610417036139	1	0.0668610417036139	0.00139875739681937
MDDpooled	sbrc	slope_PC2	full	8082	6789	1154522	0.049667879189501	0.0208044509704301	0.0169937662773378	1	0.0169937662773378	0.00246689822318287
MDDpooled	sbrc	slope_PC3	full	8082	6789	1154522	-0.0122708694954372	0.020427146886384	0.548048640207564	1	0.548048640207564	0.000150574238174051
