disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
SCZeur	sbrc	baseline_thickness	EUR	4116	3447		0.0183910669857407	0.0159780061417179	0.249789545573007	1	0.249789545573007	0.000338231344874003
SCZeur	sbrc	global_slope	EUR	4116	3447		-0.035291897004493	0.0152044129509347	0.0203303801149623	1	0.0203303801149623	0.00124551799417574
SCZeur	sbrc	slope_PC1	EUR	4116	3447		0.0246857821092899	0.0157580157896531	0.117303553081732	1	0.117303553081732	0.000609387838347337
SCZeur	sbrc	slope_PC2	EUR	4116	3447		0.00392727120659159	0.0161268110679891	0.807612183328381	1	0.807612183328381	1.54234591301234e-05
SCZeur	sbrc	slope_PC3	EUR	4116	3447		-0.00679813469061034	0.0159793167648583	0.670544618721883	1	0.670544618721883	4.62146352716797e-05
SCZeur	sbrc	baseline_thickness	full	8082	6789		0.012658955794799	0.0113294940481875	0.263880441160597	1	0.263880441160597	0.000160249161814675
SCZeur	sbrc	global_slope	full	8082	6789		-0.0254236097409468	0.0109796473973562	0.0206111905324175	1	0.0206111905324175	0.000646359932259966
SCZeur	sbrc	slope_PC1	full	8082	6789		0.0242378309873138	0.011342350304535	0.0326359584714228	1	0.0326359584714228	0.00058747245096959
SCZeur	sbrc	slope_PC2	full	8082	6789		0.00797827766081772	0.0115709795386331	0.490525027102243	1	0.490525027102243	6.36529144331031e-05
SCZeur	sbrc	slope_PC3	full	8082	6789		-0.0100298059533429	0.0113565770359835	0.377171798017583	1	0.377171798017583	0.000100597007461713
