disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZIGAPnoAPOE	sbr	baseline_thickness	EUR	4116	3447	1091144	-4.47505362574524e-05	0.0161379161196359	0.997787599105012	1	0.997787599105012	2.00261049532956e-09
ALZIGAPnoAPOE	sbr	global_slope	EUR	4116	3447	1091144	-0.0114350469396727	0.0154054652589784	0.457967613767744	1	0.457967613767744	0.000130760298512518
ALZIGAPnoAPOE	sbr	slope_PC1	EUR	4116	3447	1091144	0.0117498342774679	0.0159628637771876	0.461731899046489	1	0.461731899046489	0.000138058605547959
ALZIGAPnoAPOE	sbr	slope_PC2	EUR	4116	3447	1091144	0.00768056725438087	0.0163258823026032	0.638057506662921	1	0.638057506662921	5.89911133490677e-05
ALZIGAPnoAPOE	sbr	slope_PC3	EUR	4116	3447	1091144	-0.0298593733628427	0.0161635363040631	0.0647756560824327	1	0.0647756560824327	0.00089158217762164
ALZIGAPnoAPOE	sbr	baseline_thickness	full	8082	6789	1091144	0.0221403941382204	0.0114759609306287	0.0537308415517351	1	0.0537308415517351	0.000490197052595744
ALZIGAPnoAPOE	sbr	global_slope	full	8082	6789	1091144	-0.00400316361974716	0.0111491923992775	0.719564604146397	1	0.719564604146397	1.60253189664672e-05
ALZIGAPnoAPOE	sbr	slope_PC1	full	8082	6789	1091144	-0.00145116322858572	0.011517535364591	0.899738472389344	1	0.899738472389344	2.10587471599933e-06
ALZIGAPnoAPOE	sbr	slope_PC2	full	8082	6789	1091144	0.00871886713389035	0.0117433505328013	0.457836729042914	1	0.457836729042914	7.60186440984333e-05
ALZIGAPnoAPOE	sbr	slope_PC3	full	8082	6789	1091144	-0.00315076170173638	0.0115269825209284	0.784600898952436	1	0.784600898952436	9.9272993011287e-06
