disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZIGAP	sbr	baseline_thickness	EUR	4116	3447	1092339	-0.00174444638885142	0.0157655551401882	0.911899947355867	1	0.911899947355867	3.04309320357674e-06
ALZIGAP	sbr	global_slope	EUR	4116	3447	1092339	-0.0241728283729677	0.0149727756389211	0.106511788516466	1	0.106511788516466	0.00058432563154895
ALZIGAP	sbr	slope_PC1	EUR	4116	3447	1092339	0.039542216588534	0.0154983863047494	0.0107692785112061	1	0.0107692785112061	0.00156358689273453
ALZIGAP	sbr	slope_PC2	EUR	4116	3447	1092339	0.0424790078783409	0.0158570525947848	0.00741851534327278	1	0.00741851534327278	0.00180446611032815
ALZIGAP	sbr	slope_PC3	EUR	4116	3447	1092339	-0.0329087378615186	0.0157186751909332	0.0363606363997681	1	0.0363606363997681	0.00108298502763815
ALZIGAP	sbr	baseline_thickness	full	8082	6789	1092339	0.0181474088304988	0.0111139058740792	0.102538652760235	1	0.102538652760235	0.000329328447261265
ALZIGAP	sbr	global_slope	full	8082	6789	1092339	-0.0153242098307317	0.0107847786476223	0.155384011087644	1	0.155384011087644	0.000234831406936294
ALZIGAP	sbr	slope_PC1	full	8082	6789	1092339	0.00472444418954362	0.0111419635187988	0.671561535071967	1	0.671561535071967	2.23203729001125e-05
ALZIGAP	sbr	slope_PC2	full	8082	6789	1092339	0.0148156012644653	0.0113606960759154	0.192235449332256	1	0.192235449332256	0.000219502040827627
ALZIGAP	sbr	slope_PC3	full	8082	6789	1092339	-0.00281843349294048	0.0111525467703738	0.800494117340287	1	0.800494117340287	7.94356735412867e-06
