disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
SCZpooled	sbr	baseline_thickness	EUR	4116	3447	1075055	0.00772303942927014	0.0157996843700303	0.625002546647072	1	0.625002546647072	5.96453380260612e-05
SCZpooled	sbr	global_slope	EUR	4116	3447	1075055	-0.0282476058752037	0.0150695570576242	0.060939423536741	1	0.060939423536741	0.000797927237680841
SCZpooled	sbr	slope_PC1	EUR	4116	3447	1075055	0.0218726927154628	0.0156196712696212	0.161496452478692	1	0.161496452478692	0.000478414686625061
SCZpooled	sbr	slope_PC2	EUR	4116	3447	1075055	-0.00114274110006854	0.0159784030893056	0.942989292160524	1	0.942989292160524	1.30585722178586e-06
SCZpooled	sbr	slope_PC3	EUR	4116	3447	1075055	-0.00911355950618928	0.0158274699637625	0.564779412415249	1	0.564779412415249	8.3056966872853e-05
SCZpooled	sbr	baseline_thickness	full	8082	6789	1075055	-0.00352397386835141	0.023955755641628	0.883054063189507	1	0.883054063189507	1.24183918248236e-05
SCZpooled	sbr	global_slope	full	8082	6789	1075055	-0.0707393430859956	0.0233388711526803	0.00244586347523042	1	0.00244586347523042	0.0050040546602382
SCZpooled	sbr	slope_PC1	full	8082	6789	1075055	0.0815087048760946	0.0241085138060388	0.000726102052495597	1	0.000726102052495597	0.00664366897057828
SCZpooled	sbr	slope_PC2	full	8082	6789	1075055	0.0334738719720194	0.0245924608786335	0.173508017777536	1	0.173508017777536	0.00112050010479915
SCZpooled	sbr	slope_PC3	full	8082	6789	1075055	-0.0465430141440723	0.0241367918625174	0.0538544746372253	1	0.0538544746372253	0.00216625216561532
