disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ALZIGAPnoAPOE	prscs	baseline_thickness	EUR	4116	3447	655	686	0.0414153034190407	0.0425688013071609	0.330936567134056	0.00773336762926618	0.0184035990386574	0.674358576030013	-0.0336819357897745	0.0462647814547506	-0.728025394926316	0.466598041016405
ALZIGAPnoAPOE	prscs	baseline_thickness	full	8082	6789	1250	1339	0.0594841890337984	0.0929485698711099	0.522293688305789	0.0231118810843455	0.0447035983662444	0.60516950085313	-0.0363723079494529	0.0959180769839209	-0.379201805260859	0.704538011103368
ALZIGAPnoAPOE	prscs	global_slope	EUR	4116	3447	655	686	0.0100524223562557	0.054828350249598	0.854573040917454	-0.0292941676572428	0.0168374417382935	0.081981749268403	-0.0393465900134985	0.0572776621431635	-0.686944762430302	0.492117537789876
ALZIGAPnoAPOE	prscs	global_slope	full	8082	6789	1250	1339	-0.0410351816875877	0.114055595538903	0.719055537594685	-0.0547602085568106	0.0427788670066625	0.200559898119122	-0.0137250268692229	0.11627030366765	-0.118044130240297	0.906032691423473
ALZIGAPnoAPOE	prscs	slope_PC1	EUR	4116	3447	655	686	-0.0278890542353014	0.0587454011845263	0.635101499594656	0.0178616305496227	0.0173929578810719	0.304522289544228	0.0457506847849241	0.0611882778671899	0.747703422610238	0.454639066265889
ALZIGAPnoAPOE	prscs	slope_PC1	full	8082	6789	1250	1339	0.0261817350641378	0.119368115942634	0.826415759241717	0.0325282171887157	0.0441667281599155	0.461458831186414	0.00634648212457789	0.121623696039405	0.0521812963365437	0.958384235988753
ALZIGAPnoAPOE	prscs	slope_PC2	EUR	4116	3447	655	686	-4.59516366514211e-05	0.0572295825188323	0.999359546511731	0.000599410358647181	0.0178760311303256	0.973252726037711	0.000645361995298602	0.0598726656972875	0.0107789086686321	0.991399841726032
ALZIGAPnoAPOE	prscs	slope_PC2	full	8082	6789	1250	1339	0.102888889253767	0.11809697549466	0.383755673428245	0.00287505940081661	0.0450997545855351	0.949171940908361	-0.100013829852951	0.120474404090825	-0.830166628403082	0.406444580310749
ALZIGAPnoAPOE	prscs	slope_PC3	EUR	4116	3447	655	686	-0.00154748058523293	0.0551978291159761	0.977642648739979	-0.0343339694620888	0.0177472149638282	0.0531253230054473	-0.0327864888768558	0.0578954540489085	-0.566305065146544	0.571186417772346
ALZIGAPnoAPOE	prscs	slope_PC3	full	8082	6789	1250	1339	0.0315383509639301	0.116632668783382	0.786882012898216	-0.124464644088354	0.0442299535181078	0.00490580170059838	-0.156002995052284	0.118947939131891	-1.31152331171796	0.18968102313864
