disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ALZnoAPOE	prscs	baseline_thickness	EUR	4116	3447	655	686	0.069466954192183	0.0380824620405141	0.0685607781132497	-0.000481686703131318	0.017196741730507	0.977655508092503	-0.0699486408953143	0.041717517880494	-1.67672106225717	0.093597039971654
ALZnoAPOE	prscs	baseline_thickness	full	8082	6789	1250	1339	0.0728700118448648	0.0391508932071024	0.0629223559362668	0.0109301804779237	0.0162596817768222	0.501462349120578	-0.0619398313669411	0.042180290924836	-1.46845434227365	0.141980849699834
ALZnoAPOE	prscs	global_slope	EUR	4116	3447	655	686	-0.033326558217355	0.0491978775398233	0.498342155331582	-0.0134348512223731	0.0157711870093268	0.394351084328266	0.0198917069949819	0.0516148037297887	0.385387632182386	0.699950244371642
ALZnoAPOE	prscs	global_slope	full	8082	6789	1250	1339	-0.029015612113252	0.048421938952463	0.549107885871082	-0.0249516639344495	0.0153890618667846	0.104980624072425	0.00406394817880249	0.0506480758507501	0.0802389451235649	0.936047216272139
ALZnoAPOE	prscs	slope_PC1	EUR	4116	3447	655	686	-0.0254810051623709	0.0526663736936784	0.628649776033063	0.0146361289980092	0.0162980758701122	0.369235426818023	0.04011713416038	0.0550810957225777	0.728328542381121	0.466412494217883
ALZnoAPOE	prscs	slope_PC1	full	8082	6789	1250	1339	-0.047966107292209	0.0506715143867636	0.343984089627369	0.0266590674422257	0.0158803917956855	0.0932490366446404	0.0746251747344347	0.0529381194945495	1.40966803216571	0.158637728318384
ALZnoAPOE	prscs	slope_PC2	EUR	4116	3447	655	686	0.0284384611131159	0.0513030930150085	0.579510189364321	0.0235417687151461	0.0167340455353878	0.159571725355958	-0.00489669239796976	0.0539104711655142	-0.0908300797990819	0.927627608610841
ALZnoAPOE	prscs	slope_PC2	full	8082	6789	1250	1339	-0.0271312814446555	0.0501295866557559	0.588428077042991	0.0226968553610432	0.016232798523579	0.162095455212134	0.0498281368056986	0.0525202584263678	0.948741272390283	0.342752217301595
ALZnoAPOE	prscs	slope_PC3	EUR	4116	3447	655	686	0.0574427030356438	0.0493970474125557	0.245303851598309	-0.0151198215621135	0.0166240268644716	0.363144144827478	-0.0725625245977573	0.0520656510627358	-1.39367362390848	0.163416184654078
ALZnoAPOE	prscs	slope_PC3	full	8082	6789	1250	1339	0.0660969141961609	0.0494877257619994	0.181872655077635	-0.0351402145341119	0.0159215946075199	0.0273421494244401	-0.101237128730273	0.0518180843181861	-1.95370265154211	0.0507363925495881
