disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ALZIGAPnoAPOE	sbrc	baseline_thickness	EUR	4116	3447	655	686	0.0514613010623679	0.0396195315440519	0.194411259569055	-0.0315312875855479	0.0174308730233596	0.0705484124905094	-0.0829925886479158	0.0432380622134481	-1.91943358234271	0.0549294843050043
ALZIGAPnoAPOE	sbrc	baseline_thickness	full	8082	6789	1250	1339	0.0463501339017482	0.0310750090251007	0.136046647151932	0.00478178979092994	0.0121313852226239	0.693470211509048	-0.0415683441108183	0.033363532412382	-1.24592155282068	0.21279319661342
ALZIGAPnoAPOE	sbrc	global_slope	EUR	4116	3447	655	686	0.0513510043514629	0.0511033636382007	0.315264791043305	-0.000255385911805084	0.015963945944621	0.987237200219349	-0.0516063902632679	0.0535059606109562	-0.964497967590937	0.334796326881723
ALZIGAPnoAPOE	sbrc	global_slope	full	8082	6789	1250	1339	0.0173442506439381	0.0384335379817338	0.651849612553953	0.00200806079589305	0.0114605906882634	0.86091646095267	-0.0153361898480451	0.04010895345127	-0.382363251304416	0.70219194446245
ALZIGAPnoAPOE	sbrc	slope_PC1	EUR	4116	3447	655	686	-0.0880787676029658	0.054607059359342	0.10715905652547	0.0269667342544706	0.0164878020043543	0.102028784091493	0.115045501857436	0.0570088432263014	2.01802905210256	0.0435882357296164
ALZIGAPnoAPOE	sbrc	slope_PC1	full	8082	6789	1250	1339	-0.0630732307990883	0.0401817754560256	0.116687872716445	0.00767068396122814	0.0118260213570587	0.516601629726987	0.0707439147603165	0.0418890254976684	1.68884126378768	0.0912498537784614
ALZIGAPnoAPOE	sbrc	slope_PC2	EUR	4116	3447	655	686	-0.0138373451625785	0.0533024483135833	0.795237450359793	0.0236396633759423	0.0169405510969296	0.162972468035298	0.0374770085385208	0.0558944353533983	0.670496236370732	0.502541504863901
ALZIGAPnoAPOE	sbrc	slope_PC2	full	8082	6789	1250	1339	-0.00268834542252753	0.0397763525302822	0.946123097577366	0.0114129196348567	0.0120903056886332	0.345217348427782	0.0141012650573842	0.041576553956844	0.339163872792852	0.734486283295803
ALZIGAPnoAPOE	sbrc	slope_PC3	EUR	4116	3447	655	686	0.0751467942952645	0.0512781343849609	0.143272747275422	-0.0395295754868937	0.0168223133794899	0.0188416477653384	-0.114676369782158	0.053931121848438	-2.12634868053425	0.0334742374774863
ALZIGAPnoAPOE	sbrc	slope_PC3	full	8082	6789	1250	1339	0.0725103504449894	0.0392401696876687	0.0648169158663828	-0.0164823451148544	0.0118597523383402	0.164644892620092	-0.0889926955598438	0.0409964600570478	-2.17074097217194	0.0299507581778316
