disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ASD	sbrc	baseline_thickness	EUR	4116	3447	655	686	-0.0238863452665793	0.0384075282435411	0.534197321410244	-0.0169582584330552	0.0172160290982158	0.324678895650821	0.00692808683352408	0.041974686145913	0.165053928204265	0.868901535520065
ASD	sbrc	baseline_thickness	full	8082	6789	1250	1339	-0.018555670173863	0.0296909440744577	0.532101347802974	-0.0105308854664205	0.0122557862590829	0.390228046724193	0.0080247847074425	0.0320560918401262	0.250335716139841	0.802327738078468
ASD	sbrc	global_slope	EUR	4116	3447	655	686	-0.0114680341693818	0.0495187647738078	0.816913719048681	-0.00234208281928636	0.0158122827971782	0.882258326890922	0.00912595135009547	0.0519009713370885	0.175833922082573	0.86042441884023
ASD	sbrc	global_slope	full	8082	6789	1250	1339	0.0167807033321323	0.0366868033159095	0.647442474560127	0.00876100571007098	0.0115994216979239	0.450097088202254	-0.00801969762206133	0.0384284713143358	-0.20869155987138	0.834689029322514
ASD	sbrc	slope_PC1	EUR	4116	3447	655	686	0.00285588955520771	0.0529855629919338	0.957029072191985	0.0124423251740221	0.0163436361352135	0.446534229208376	0.00958643561881444	0.0553677950815337	0.173141003803702	0.862540595259875
ASD	sbrc	slope_PC1	full	8082	6789	1250	1339	0.00844466706286588	0.0383929619425423	0.825936014510998	0.00873458840639552	0.0119708740185031	0.465627448870354	0.000289921343529643	0.0401666808423926	0.00721795621269394	0.994240954184035
ASD	sbrc	slope_PC2	EUR	4116	3447	655	686	-0.0241646457716152	0.0515807948054944	0.639565096144697	-0.016416881624143	0.016780204817338	0.327970498059151	0.00774776414747222	0.0541540709054578	0.14306891463429	0.886235754877757
ASD	sbrc	slope_PC2	full	8082	6789	1250	1339	-0.00409061003631077	0.0379693171138215	0.91421949795053	0.00111786669222944	0.0122358054063251	0.927208984231082	0.00520847672854021	0.0398401694085532	0.130734301732713	0.895985496351192
ASD	sbrc	slope_PC3	EUR	4116	3447	655	686	-0.0414657969901705	0.0496850551259968	0.40426142365158	-0.0304748075408262	0.0166586895747193	0.0674342712291718	0.0109909894493443	0.0523141085182065	0.210096086135525	0.833592680123969
ASD	sbrc	slope_PC3	full	8082	6789	1250	1339	-0.0220076114632376	0.037497671635166	0.557353782611631	-0.0234140058301632	0.0120006719900228	0.0510914174143564	-0.00140639436692565	0.0393205539380631	-0.0357674098167837	0.971467819629505
