disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
EA	sbrc	baseline_thickness	EUR	4116	3447	655	686	0.00957195114374277	0.0431195508727501	0.824389270204484	0.0195158253295009	0.0174589414597774	0.263724995588353	0.00994387418575815	0.0465365487467689	0.213678806304874	0.830797539753498
EA	sbrc	baseline_thickness	full	8082	6789	1250	1339	-0.0301269217256318	0.0413317837613633	0.466184992418607	0.016486208427469	0.0167945684440554	0.326312250184851	0.0466131301531008	0.0443248578741216	1.05162503364315	0.292971617703226
EA	sbrc	global_slope	EUR	4116	3447	655	686	0.035540703672396	0.0556105777738665	0.522934452891724	0.0235495440868508	0.0159654108633815	0.140297226089725	-0.0119911595855452	0.0578658051640913	-0.207223584836357	0.835835249021616
EA	sbrc	global_slope	full	8082	6789	1250	1339	0.0256227025049679	0.0510853576934597	0.616041438687903	0.013997388889889	0.0158709618323351	0.377835818089101	-0.011625313615079	0.0532780374243382	-0.218200860562637	0.82727261460483
EA	sbrc	slope_PC1	EUR	4116	3447	655	686	0.0191422396090719	0.0595156863324903	0.747816407605846	-0.00347768432708439	0.0164975522378449	0.833056587762671	-0.0226199239361563	0.0617683051825279	-0.366205999489763	0.714211365737026
EA	sbrc	slope_PC1	full	8082	6789	1250	1339	0.000862849756638362	0.0534600616816641	0.987124692571732	-0.000444766596931315	0.0163777858009015	0.97833557337475	-0.00130761635356968	0.0556925054388118	-0.0234792157987277	0.981268017304757
EA	sbrc	slope_PC2	EUR	4116	3447	655	686	0.0318804561033647	0.0579571904346781	0.582422702046626	0.0145217892256395	0.0169529007885131	0.391729310545338	-0.0173586668777252	0.060395485292285	-0.287416630460334	0.773793328887548
EA	sbrc	slope_PC2	full	8082	6789	1250	1339	0.0172656773015267	0.0528688244018586	0.744030798913239	0.00181183951896051	0.0167453048577116	0.913840381282574	-0.0154538377825662	0.0552255936983967	-0.279831084604798	0.779607101969379
EA	sbrc	slope_PC3	EUR	4116	3447	655	686	0.00864073430485737	0.0558325073515314	0.877056798344402	0.0171598474070227	0.0168452615088173	0.308433769119681	0.00851911310216538	0.0583286842161561	0.146053579240619	0.883879091754381
EA	sbrc	slope_PC3	full	8082	6789	1250	1339	0.00248611491679374	0.0522195959478508	0.962034222962913	0.00852664884487482	0.0164268043564555	0.60372977833527	0.00604053392808109	0.0545163971089435	0.110802148498734	0.911773241589322
