disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
EA	sbrc	baseline_thickness	EUR	4116	3447	655	686	0.0095719809022985	0.0431195509521276	0.824388733481958	0.0195158308792172	0.0174589414283811	0.263724858960492	0.00994384997691868	0.0465365488117123	0.213678285795358	0.83079794568627
EA	sbrc	baseline_thickness	full	8082	6789	1250	1339	-0.0125235445858946	0.0315325907405276	0.691310231272099	-0.00128060103936307	0.011956923077597	0.914711827978688	0.0112429435465315	0.0337318498688157	0.333303497740435	0.738905199380198
EA	sbrc	global_slope	EUR	4116	3447	655	686	0.0355407311392137	0.0556105778663468	0.522934132452303	0.0235495459082024	0.0159654108451549	0.14029719496922	-0.0119911852310112	0.0578658052509092	-0.207224027714068	0.835834903162512
EA	sbrc	global_slope	full	8082	6789	1250	1339	0.0105484994622122	0.0389697572236226	0.786668804614425	0.00880856204475088	0.0113027110644593	0.435811698769593	-0.00173993741746129	0.040581815557693	-0.0428748047259668	0.965801333192727
EA	sbrc	slope_PC1	EUR	4116	3447	655	686	0.0191422161826577	0.0595156864705551	0.747816706286757	-0.00347769212861811	0.0164975522203998	0.833056218598435	-0.0226199083112758	0.0617683053139629	-0.366205745751009	0.71421155506115
EA	sbrc	slope_PC1	full	8082	6789	1250	1339	0.00319793692354618	0.0407799614982987	0.937504532155999	0.00173794193868711	0.0116642216179316	0.881559973981942	-0.00145999498485907	0.04242145762908	-0.03441642664957	0.972545084659319
EA	sbrc	slope_PC2	EUR	4116	3447	655	686	0.0318804227777151	0.0579571905627241	0.582423097070441	0.0145217881003018	0.0169529007705788	0.391729346736886	-0.0173586346774133	0.0603954854132784	-0.28741609672694	0.773793737513836
EA	sbrc	slope_PC2	full	8082	6789	1250	1339	0.00447398357663293	0.0403279486824323	0.91167761339909	0.000754726080875759	0.0119243005928776	0.949534964032337	-0.00371925749575718	0.0420604389486888	-0.0884265021650022	0.929537698114585
EA	sbrc	slope_PC3	EUR	4116	3447	655	686	0.00864075002715321	0.0558325074680221	0.877056576679426	0.0171598537502632	0.0168452614862262	0.308433589668198	0.00851910372310994	0.0583286843242625	0.1460534181733	0.883879218904095
EA	sbrc	slope_PC3	full	8082	6789	1250	1339	0.00448515028365173	0.0398387458511798	0.910376330833324	-0.00234033177573552	0.0116975544582304	0.841431783298902	-0.00682548205938725	0.0415269212658593	-0.164362824195174	0.869445527517151
