disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
MDDpooled	sbrc	baseline_thickness	EUR	4116	3447	655	686	0.0254893694325999	0.0433389784805782	0.556628970891906	-0.0229846781719899	0.0172058272411382	0.181681135383519	-0.0484740476045898	0.0466347596360465	-1.03944027980197	0.298600019000646
MDDpooled	sbrc	baseline_thickness	full	8082	6789	1250	1339	0.0396406473259357	0.0551157273580713	0.472124811922092	-0.0307652948666501	0.0216625105629611	0.155591557059989	-0.0704059421925858	0.0586527029960538	-1.20038700002151	0.229989075326519
MDDpooled	sbrc	global_slope	EUR	4116	3447	655	686	-0.0498052558103609	0.055900944497842	0.37321187201185	-0.0169055014609022	0.0157548041843084	0.283330817985862	0.0328997543494587	0.0580819482292663	0.566436825080209	0.571096867317696
MDDpooled	sbrc	global_slope	full	8082	6789	1250	1339	-0.114263669650477	0.0680387836766739	0.09327111252881	-0.0391230252477128	0.0205112977122871	0.056512615824762	0.0751406444027639	0.0706396185203748	1.06371815104141	0.287456399305924
MDDpooled	sbrc	slope_PC1	EUR	4116	3447	655	686	-0.000990833094563316	0.0598507320415882	0.986795801876918	0.00563008456144043	0.0162800913640314	0.729495419845521	0.00662091765600375	0.0620286915401935	0.106739598911473	0.914995566657994
MDDpooled	sbrc	slope_PC1	full	8082	6789	1250	1339	0.0972051086036556	0.0712249436909049	0.172523917379699	0.0324624020976257	0.0211685325277353	0.125194754749651	-0.0647427065060299	0.0738725737498237	-0.876410597595896	0.380806859175897
MDDpooled	sbrc	slope_PC2	EUR	4116	3447	655	686	0.00611835613574915	0.0582856567205105	0.916423938659765	0.0205816540681227	0.0167230930229544	0.218508409499187	0.0144632979323735	0.060640849701989	0.238507507784792	0.811487492983516
MDDpooled	sbrc	slope_PC2	full	8082	6789	1250	1339	0.0911460411089826	0.0704576426729531	0.19597740472812	0.0460112544793926	0.0216346363082229	0.0334774645611901	-0.04513478662959	0.0732498995710248	-0.616175406299721	0.537778758343952
MDDpooled	sbrc	slope_PC3	EUR	4116	3447	655	686	0.043028618144452	0.0561376444664828	0.443665185372249	0.00136427379698281	0.0166175684590736	0.934573612566711	-0.0416643443474692	0.0585491973261383	-0.711612562600732	0.476704725606119
MDDpooled	sbrc	slope_PC3	full	8082	6789	1250	1339	0.0198204469930891	0.0696154089975414	0.775902354843421	-0.0150604316640898	0.0212315651873934	0.478137174649412	-0.0348808786571789	0.0723378231598154	-0.482194198464016	0.629667997761748
