disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
MDDpooled	sbrc	baseline_thickness	EUR	4116	3447	655	686	0.0254893464780811	0.0433389794863825	0.556629335328403	-0.0229846831873756	0.0172058272574476	0.181681040513501	-0.0484740296654567	0.0466347605752175	-1.03943987419583	0.298600207552565
MDDpooled	sbrc	baseline_thickness	full	8082	6789	1250	1339	0.00544382281191765	0.0329951090720411	0.86897726342198	-0.00227141863633642	0.0119624424716305	0.84940946548762	-0.00771524144825407	0.0351043527112689	-0.21978019397513	0.826042345425919
MDDpooled	sbrc	global_slope	EUR	4116	3447	655	686	-0.0498052501030284	0.0559009457730454	0.373211937652618	-0.0169054998356724	0.0157548041973914	0.28333086466202	0.032899750267356	0.058081949458303	0.566436742812408	0.571096923228807
MDDpooled	sbrc	global_slope	full	8082	6789	1250	1339	-0.0526812006688934	0.0407514854448985	0.196286651405554	-0.01913644318742	0.0113039755713288	0.0905218682788101	0.0335447574814734	0.0422963465581012	0.793088770336085	0.427726105008373
MDDpooled	sbrc	slope_PC1	EUR	4116	3447	655	686	-0.000990818104620564	0.059850733405739	0.986796001920985	0.00563008169743375	0.0162800913760731	0.72949555224271	0.00662089980205432	0.062028692857641	0.106739308810676	0.914995796810103
MDDpooled	sbrc	slope_PC1	full	8082	6789	1250	1339	0.0520087196639721	0.0426449466367776	0.222809875835393	0.0133540024917628	0.0116662364002852	0.252386699148366	-0.0386547171722093	0.0442181680173439	-0.874181787835434	0.382019262477918
MDDpooled	sbrc	slope_PC2	EUR	4116	3447	655	686	0.006118388653007	0.0582856580441561	0.916423497999851	0.0205816494252292	0.0167230930379299	0.218508513770355	0.0144632607722222	0.0606408509764477	0.238506889981467	0.811487972096272
MDDpooled	sbrc	slope_PC2	full	8082	6789	1250	1339	0.060404530743173	0.0421703681805949	0.152224018114114	0.0227983307734663	0.0119243560969571	0.0559294907765466	-0.0376061999697067	0.0438303825532724	-0.857993879565146	0.390895843044005
MDDpooled	sbrc	slope_PC3	EUR	4116	3447	655	686	0.0430286327135643	0.0561376446648779	0.443665032718654	0.00136427137112503	0.0166175685431371	0.934573728972433	-0.0416643613424393	0.0585491975384252	-0.711612850288775	0.476704547409234
MDDpooled	sbrc	slope_PC3	full	8082	6789	1250	1339	-0.00284850618638109	0.041683072662307	0.945526162587663	0.00205024389127123	0.0117010595428256	0.860913147042308	0.00489875007765232	0.0433006424616953	0.113133427107597	0.909924774108166
