disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
SCZpooled	sbrc	baseline_thickness	EUR	4116	3447	655	686	0.0576673494118494	0.0392777334415707	0.142500501626412	0.00689093941479258	0.0172116145733341	0.68891195415938	-0.0507764099970568	0.0428159796252074	-1.1859219488035	0.235653124396319
SCZpooled	sbrc	baseline_thickness	full	8082	6789	1250	1339	0.01542091599851	0.0299483982186522	0.606694964245112	0.00125905102761639	0.0119711436978519	0.916240974015954	-0.0141618649708936	0.0322424155911702	-0.439230892327184	0.66049424296367
SCZpooled	sbrc	global_slope	EUR	4116	3447	655	686	-0.0172932267315427	0.0507265268618531	0.733256892793157	-0.0318091734288688	0.0157521098040045	0.0435286873427545	-0.0145159466973262	0.0530666554132527	-0.273541767128233	0.784436790560942
SCZpooled	sbrc	global_slope	full	8082	6789	1250	1339	-0.00405049191573834	0.0370199707127136	0.912888086057709	-0.0263334645989871	0.0113052532818333	0.019872162673204	-0.0222829726832488	0.0387004954966956	-0.575780035817665	0.564763869379628
SCZpooled	sbrc	slope_PC1	EUR	4116	3447	655	686	-0.0169330970820793	0.0542912867025206	0.755204727247914	0.0233350408756282	0.016279208952153	0.151831496227178	0.0402681379577075	0.0566296702273392	0.711078446970493	0.477035625131116
SCZpooled	sbrc	slope_PC1	full	8082	6789	1250	1339	-0.00959514650595835	0.038744724521625	0.804437407834194	0.0328938351628238	0.0116630377696694	0.00481142604571052	0.0424889816687822	0.0404547394429421	1.05028439816574	0.293587376156389
SCZpooled	sbrc	slope_PC2	EUR	4116	3447	655	686	0.00430078016896019	0.0528514702806359	0.935163800446129	-0.00838874886321748	0.0167318436690295	0.616147329841187	-0.0126895290321777	0.0553836119861861	-0.229120647373861	0.818775145996051
SCZpooled	sbrc	slope_PC2	full	8082	6789	1250	1339	0.0180705037098574	0.038303811784191	0.637155921334333	0.0121684124421975	0.0119313617303351	0.307827660672613	-0.00590209126765992	0.0401113017271516	-0.147142850356929	0.883019268257844
SCZpooled	sbrc	slope_PC3	EUR	4116	3447	655	686	0.0211166652085958	0.0509302166986774	0.678556145588354	-0.0105905234837438	0.0166210866507836	0.524056341363661	-0.0317071886923396	0.0535198445770034	-0.592437981517675	0.553557338921864
SCZpooled	sbrc	slope_PC3	full	8082	6789	1250	1339	0.0313167643972601	0.0378299266233534	0.407896474576764	-0.0184719574009491	0.0117031910266765	0.114528395287899	-0.0497887217982093	0.0395912741333439	-1.25756805983359	0.208548010639883
