disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZ	auto	baseline_thickness	EUR	4116	3447		0.00174291954152791	0.0156893108913811	0.911550720890024	1	0.911550720890024	3.03776852823987e-06
ALZ	auto	global_slope	EUR	4116	3447		-0.0296086146473268	0.014954349454849	0.0477814952382294	1	0.0477814952382294	0.000876670061333897
ALZ	auto	slope_PC1	EUR	4116	3447		0.0410041463099727	0.0154916021772489	0.00815768153564984	1	0.00815768153564984	0.00168134001460965
ALZ	auto	slope_PC2	EUR	4116	3447		0.0427790862412461	0.0158593829114781	0.00701839656765854	1	0.00701839656765854	0.00183005021963597
ALZ	auto	slope_PC3	EUR	4116	3447		-0.0365718694714757	0.0157875702020362	0.0205829073287122	1	0.0205829073287122	0.00133750163663865
ALZ	auto	baseline_thickness	full	8082	6789		0.019953873423861	0.0110403043486165	0.0707425998237941	1	0.0707425998237941	0.000398157064615468
ALZ	auto	global_slope	full	8082	6789		-0.0297097982563239	0.010736582451659	0.00566836073510076	1	0.00566836073510076	0.000882672112431465
ALZ	auto	slope_PC1	full	8082	6789		0.0196295188308696	0.0110955276267648	0.0769109850765247	1	0.0769109850765247	0.000385318009531464
ALZ	auto	slope_PC2	full	8082	6789		0.0187408296870308	0.0113267677034664	0.0980543053602224	1	0.0980543053602224	0.000351218697358295
ALZ	auto	slope_PC3	full	8082	6789		-0.0225234427073015	0.0111445611926558	0.0433118659167557	1	0.0433118659167557	0.000507305471389093
