disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZ	sbrc	baseline_thickness	EUR	4116	3447		-0.00520194088182241	0.0157772786770578	0.741635328786837	1	0.741635328786837	2.70601889379753e-05
ALZ	sbrc	global_slope	EUR	4116	3447		-0.0222725949618153	0.0149616197537538	0.136662803499754	1	0.136662803499754	0.00049606848633308
ALZ	sbrc	slope_PC1	EUR	4116	3447		0.0359987462543326	0.0154872128435443	0.0201569082422564	1	0.0201569082422564	0.00129590973188383
ALZ	sbrc	slope_PC2	EUR	4116	3447		0.0439992738457571	0.0158666480607204	0.00557999261236059	1	0.00557999261236059	0.00193593609895392
ALZ	sbrc	slope_PC3	EUR	4116	3447		-0.0239237439308167	0.0158119421331231	0.130358443974173	1	0.130358443974173	0.00057234552366729
ALZ	sbrc	baseline_thickness	full	8082	6789		0.0125374514816607	0.0110396662487169	0.256127392149336	1	0.256127392149336	0.000157187689654995
ALZ	sbrc	global_slope	full	8082	6789		-0.021706471911218	0.0107160344950358	0.0428401473481021	1	0.0428401473481021	0.000471170922832498
ALZ	sbrc	slope_PC1	full	8082	6789		0.00896096088109639	0.0110724733694862	0.418367852391131	1	0.418367852391131	8.02988199125399e-05
ALZ	sbrc	slope_PC2	full	8082	6789		0.016773053714288	0.0113049864919605	0.137933494741687	1	0.137933494741687	0.000281335330902389
ALZ	sbrc	slope_PC3	full	8082	6789		-0.00662072027272305	0.0111250364190585	0.55178173564391	1	0.55178173564391	4.3833936929646e-05
