disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZnoAPOErc	auto	baseline_thickness	EUR	4116	3447		-0.00295929021431434	0.0157162979736462	0.850655221906827	1	0.850655221906827	8.75739857253661e-06
ALZnoAPOErc	auto	global_slope	EUR	4116	3447		-0.00141568669189788	0.0149955857475958	0.924790842167421	1	0.924790842167421	2.00416880961675e-06
ALZnoAPOErc	auto	slope_PC1	EUR	4116	3447		0.00728116103005517	0.0155395649217978	0.639413909165526	1	0.639413909165526	5.30153059455941e-05
ALZnoAPOErc	auto	slope_PC2	EUR	4116	3447		0.0259262709849235	0.0159074433151727	0.103220643360979	1	0.103220643360979	0.000672171527183688
ALZnoAPOErc	auto	slope_PC3	EUR	4116	3447		-0.00730646729237246	0.0158398801719546	0.644630579640646	1	0.644630579640646	5.33844642945085e-05
ALZnoAPOErc	auto	baseline_thickness	full	8082	6789		0.0119488525590017	0.0110104842254227	0.277854498665505	1	0.277854498665505	0.000142775077476761
ALZnoAPOErc	auto	global_slope	full	8082	6789		-0.00894122792276793	0.0107332264139009	0.404846951942849	1	0.404846951942849	7.99455567668848e-05
ALZnoAPOErc	auto	slope_PC1	full	8082	6789		0.0110152267417237	0.0110897797574569	0.320606305423157	1	0.320606305423157	0.000121335220171585
ALZnoAPOErc	auto	slope_PC2	full	8082	6789		0.0192871330956546	0.0113169309027942	0.0883703431440799	1	0.0883703431440799	0.000371993503049496
ALZnoAPOErc	auto	slope_PC3	full	8082	6789		-0.0108695709271336	0.011137583061225	0.329126738986354	1	0.329126738986354	0.000118147572139987
