disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ASD	sbrc	baseline_thickness	EUR	4116	3447		-0.0164844355376366	0.0158290046688825	0.297748075334404	1	0.297748075334404	0.000271736614994498
ASD	sbrc	global_slope	EUR	4116	3447		-0.00164151404728659	0.0151447991285252	0.91369349971308	1	0.91369349971308	2.69456836743919e-06
ASD	sbrc	slope_PC1	EUR	4116	3447		0.0102386192050987	0.01570268970071	0.514421008986803	1	0.514421008986803	0.000104829323227015
ASD	sbrc	slope_PC2	EUR	4116	3447		-0.00810549436890178	0.0160681786651217	0.613977740886362	1	0.613977740886362	6.56990389642984e-05
ASD	sbrc	slope_PC3	EUR	4116	3447		-0.02303321956482	0.0159859466127587	0.149709188334466	1	0.149709188334466	0.000530529203521206
ASD	sbrc	baseline_thickness	full	8082	6789		-0.00698233937041485	0.0110481578250342	0.527410509269117	1	0.527410509269117	4.87530630836453e-05
ASD	sbrc	global_slope	full	8082	6789		0.0114396166826832	0.0107781476774102	0.288554354203643	1	0.288554354203643	0.000130864829846725
ASD	sbrc	slope_PC1	full	8082	6789		0.00437757296365452	0.0111382778445991	0.694315147683649	1	0.694315147683649	1.9163145052119e-05
ASD	sbrc	slope_PC2	full	8082	6789		0.00403538308777996	0.0113660277659959	0.72257000414426	1	0.72257000414426	1.62843166651405e-05
ASD	sbrc	slope_PC3	full	8082	6789		-0.0149466678222902	0.0111837566586744	0.181437546174796	1	0.181437546174796	0.000223402878989884
