disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
MDD	sbrc	baseline_thickness	EUR	4116	3447		-0.0180522887621665	0.016041763754233	0.260515214398955	1	0.260515214398955	0.000325885129552641
MDD	sbrc	global_slope	EUR	4116	3447		-0.017710019561897	0.0151997010052388	0.244029219374598	1	0.244029219374598	0.000313644792882776
MDD	sbrc	slope_PC1	EUR	4116	3447		0.00943083435464066	0.0157458685968941	0.549249379107094	1	0.549249379107094	8.89406366246704e-05
MDD	sbrc	slope_PC2	EUR	4116	3447		0.0170639837453842	0.0161352201491062	0.290322431694959	1	0.290322431694959	0.000291179541262738
MDD	sbrc	slope_PC3	EUR	4116	3447		-0.00676480906487003	0.0160697944253593	0.673805080970338	1	0.673805080970338	4.57626416841477e-05
MDD	sbrc	baseline_thickness	full	8082	6789		-0.0046860040498721	0.0112658551611902	0.677459665209014	1	0.677459665209014	2.19586339554177e-05
MDD	sbrc	global_slope	full	8082	6789		-0.0198555913571654	0.0109058587298222	0.068702117600891	1	0.068702117600891	0.000394244508142741
MDD	sbrc	slope_PC1	full	8082	6789		0.0176233738969789	0.0112660393048285	0.117791533070887	1	0.117791533070887	0.000310583307512718
MDD	sbrc	slope_PC2	full	8082	6789		0.0234269895609342	0.0115049939776032	0.0417604802900257	1	0.0417604802900257	0.000548823839888118
MDD	sbrc	slope_PC3	full	8082	6789		-0.00453203680379461	0.0113223763058011	0.688967148106724	1	0.688967148106724	2.05393575909489e-05
