disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
SCZ	sbr	baseline_thickness	EUR	4116	3447	655	686	0.0307568715512472	0.0406715455437116	0.449768542118636	0.0118942433424942	0.0174541674270029	0.49562892569617	-0.0188626282087529	0.0442018395771379	-0.42673853371725	0.669569780665449
SCZ	sbr	baseline_thickness	full	8082	6789	1250	1339	-0.00901506890075317	0.0341710405684436	0.791957035154901	0.018089647364348	0.0121738277401607	0.137339743402641	0.0271047162651012	0.0362679356049975	0.747346542144139	0.454854405096131
SCZ	sbr	global_slope	EUR	4116	3447	655	686	-0.0106540117136539	0.0524201673873989	0.838995225359368	-0.0372757366996347	0.0159585622602155	0.0195612449760744	-0.0266217249859809	0.0547554975889598	-0.486192732386903	0.626830523658847
SCZ	sbr	global_slope	full	8082	6789	1250	1339	0.00915085680338561	0.042205328504829	0.828378146457751	-0.0287051485848196	0.0114944613961113	0.012538037136828	-0.0378560053882052	0.0437376491032004	-0.865524466092881	0.386750993315964
SCZ	sbr	slope_PC1	EUR	4116	3447	655	686	0.0185880618998138	0.056175927382487	0.740816300039726	0.0304148044564534	0.0164904493352623	0.065217589963085	0.0118267425566396	0.0585061759485286	0.202145198603379	0.839803213780821
SCZ	sbr	slope_PC1	full	8082	6789	1250	1339	0.0171504371178845	0.0441586361008267	0.697785899891175	0.0244183349628482	0.0118638638761971	0.0396089035999769	0.00726789784496365	0.0457195671864743	0.15896689956229	0.873694952489425
SCZ	sbr	slope_PC2	EUR	4116	3447	655	686	0.0345723800155681	0.0545995631621634	0.526781197467026	0.00795494697091898	0.0169811740297111	0.639488264796242	-0.0266174330446491	0.0571359533576868	-0.46586136189969	0.641314739435738
SCZ	sbr	slope_PC2	full	8082	6789	1250	1339	0.0402030435525308	0.0437303285564422	0.358053907960578	0.00636403743024522	0.0121498529734907	0.600437993833977	-0.0338390061222856	0.0453814738276734	-0.745656834566064	0.455874740797938
SCZ	sbr	slope_PC3	EUR	4116	3447	655	686	0.0166688479755179	0.0530016809654859	0.753243876823138	-0.0174082493069185	0.0169461949639323	0.304372185327919	-0.0340770972824364	0.0556006281172118	-0.612890509269039	0.539948739091867
SCZ	sbr	slope_PC3	full	8082	6789	1250	1339	0.0108148894080338	0.0432890331916583	0.802752753550132	-0.00911811796379013	0.0119481318868126	0.44540593680885	-0.0199330073718239	0.0449024743443212	-0.443917794350789	0.657102018890529
