label,baseline_thickness,global_slope,slope_PC1,slope_PC2,slope_PC3,slope_topDelta,slope_topC3,slope_projDelta,slope_projC3,group_delta,C3,membership
lh_bankssts,-0.323865,0.458212,-0.294432,-0.04388,0.116762,0.356985,0.513949,0.219728,0.349976,-0.022323,1.413922,3.0
lh_caudalanteriorcingulate,-0.209576,0.211555,0.186256,0.203965,-0.069313,0.132098,0.130253,0.049913,-0.068266,-0.018345,-1.409119,
lh_caudalmiddlefrontal,-0.129537,0.594201,-0.549044,-0.185006,0.503016,0.54811,0.555494,0.137845,0.292952,-0.014495,0.105365,
lh_cuneus,-0.322201,0.421551,-0.262502,-0.482287,-0.132836,0.35624,0.322863,0.055984,-0.186626,-0.020079,-1.32723,
lh_entorhinal,-0.194985,0.252246,0.078505,0.021396,-0.202707,0.123579,0.175461,-0.403064,-0.160158,-0.002422,-1.956862,
lh_frontalpole,-0.28825,0.290998,0.00143,0.14684,0.185247,0.453293,0.250385,0.440554,0.249574,-0.030884,0.480635,1.0
lh_fusiform,0.020021,0.578013,-0.346387,-0.08279,-0.016667,0.4275,0.495539,-0.04194,0.227306,-0.017174,0.838536,
lh_inferiorparietal,-0.165065,0.643174,-0.627359,-0.33165,0.318862,0.642648,0.674121,0.291089,0.394105,-0.02505,1.26982,2.0
lh_inferiortemporal,-0.194617,0.601329,-0.381322,-0.0037,0.033037,0.433313,0.60733,0.047343,0.36153,-0.018849,1.073609,3.0
lh_insula,-0.223318,0.299283,0.146861,0.232647,-0.255092,0.139604,0.198204,-0.033498,0.025242,-0.018137,-0.157859,
lh_isthmuscingulate,-0.074019,0.358901,-0.151534,-0.001117,0.103652,0.284964,0.294346,0.15676,0.177945,-0.020285,0.140324,
lh_lateraloccipital,-0.053546,0.609127,-0.546491,-0.493277,0.051297,0.535385,0.523787,0.060229,0.060661,-0.015932,-0.671701,
lh_lateralorbitofrontal,-0.025036,0.445252,-0.173046,0.092324,0.101835,0.386039,0.47843,0.142952,0.270672,-0.022397,0.928219,3.0
lh_lingual,-0.304382,0.454656,-0.266856,-0.421539,-0.179776,0.346289,0.360812,0.019923,-0.133595,-0.019309,-1.071085,
lh_medialorbitofrontal,-0.217904,0.326836,0.078072,0.235363,-0.026771,0.362372,0.276191,0.240985,0.189058,-0.023001,0.52982,1.0
lh_middletemporal,-0.313766,0.575612,-0.39745,-0.009487,0.10978,0.427735,0.579966,0.118548,0.401117,-0.018807,0.873027,
lh_paracentral,0.001203,0.584879,-0.575311,-0.429681,0.361683,0.613922,0.476379,0.153053,0.088677,-0.023607,-0.947721,1.0
lh_parahippocampal,0.031627,0.316726,-0.061444,0.045868,-0.071133,0.176814,0.239431,-0.097022,0.029831,-0.014903,-1.068818,
lh_parsopercularis,-0.043288,0.541312,-0.406416,-0.014705,0.312845,0.444751,0.526892,0.1269,0.372374,-0.015302,0.77337,
lh_parsorbitalis,-0.164191,0.469825,-0.27684,0.073225,0.284153,0.51616,0.571846,0.350042,0.417199,-0.0272,1.28266,2.0
lh_parstriangularis,-0.138284,0.538848,-0.41575,-0.004692,0.385987,0.50958,0.612129,0.296038,0.442293,-0.021873,1.198229,3.0
lh_pericalcarine,-0.133883,0.32083,-0.177218,-0.523015,-0.205082,0.247305,0.207681,-0.131714,-0.32573,-0.012884,-1.729789,
lh_postcentral,-0.330698,0.500401,-0.405363,-0.348225,0.181992,0.424981,0.446369,0.174453,0.10456,-0.018663,-0.795615,
lh_posteriorcingulate,-0.189269,0.359102,-0.111073,0.063052,0.16525,0.300958,0.301473,0.172651,0.159542,-0.020224,-0.010267,
lh_precentral,0.170926,0.474203,-0.48104,-0.358539,0.328222,0.442692,0.386528,-0.114789,0.024378,-0.006059,-1.376269,
lh_precuneus,-0.074352,0.664265,-0.625803,-0.421744,0.335878,0.686716,0.582114,0.274709,0.252308,-0.025236,0.595052,1.0
lh_rostralanteriorcingulate,-0.182214,0.265187,0.194402,0.27697,-0.158241,0.165374,0.158804,0.083866,0.014898,-0.020237,-0.65563,
lh_rostralmiddlefrontal,-0.020118,0.611463,-0.523752,-0.071434,0.516825,0.636729,0.646692,0.328743,0.440257,-0.024395,1.135914,2.0
lh_superiorfrontal,-0.12992,0.660695,-0.568332,-0.073618,0.602806,0.635683,0.637565,0.299765,0.41014,-0.021071,-0.022609,
lh_superiorparietal,-0.085367,0.63027,-0.709474,-0.571216,0.417609,0.681534,0.580841,0.249511,0.214075,-0.022813,0.221195,1.0
lh_superiortemporal,-0.192026,0.644316,-0.418856,-0.015379,0.115384,0.477426,0.602612,0.085763,0.367165,-0.016064,0.675618,
lh_supramarginal,-0.306741,0.595099,-0.539842,-0.221928,0.323321,0.51247,0.655917,0.217935,0.407093,-0.019988,1.365097,3.0
lh_temporalpole,0.225317,0.160545,0.004769,-0.074086,-0.066116,0.085506,0.104661,-0.344896,-0.072796,-0.006731,-0.709956,
lh_transversetemporal,-0.069856,0.464192,-0.259274,-0.108908,0.031482,0.344731,0.366502,0.052569,0.051182,-0.018578,-0.98988,
rh_bankssts,-0.229832,0.504733,-0.298271,0.007393,0.178118,0.403508,0.548762,0.234726,0.377851,-0.022323,1.413922,3.0
rh_caudalanteriorcingulate,-0.190091,0.216891,0.162622,0.186609,-0.036819,0.138896,0.130504,0.068527,-0.066486,-0.018345,-1.409119,
rh_caudalmiddlefrontal,-0.303078,0.549577,-0.461689,-0.121396,0.482735,0.492974,0.529677,0.153812,0.289433,-0.014495,0.105365,
rh_cuneus,-0.139982,0.462639,-0.343667,-0.554927,-0.098225,0.406072,0.338792,0.038512,-0.187605,-0.020079,-1.32723,
rh_entorhinal,-0.281983,0.202359,0.136089,0.088088,-0.174103,0.088974,0.12748,-0.345951,-0.149425,-0.002422,-1.956862,
rh_frontalpole,-0.30044,0.290585,0.038254,0.169078,0.165568,0.458724,0.233446,0.433201,0.225191,-0.030884,0.480635,1.0
rh_fusiform,-0.059332,0.558537,-0.304461,-0.072884,-0.028207,0.412759,0.476722,-0.033604,0.210779,-0.017174,0.838536,
rh_inferiorparietal,-0.132666,0.660487,-0.616481,-0.352861,0.344865,0.667024,0.674472,0.289251,0.36154,-0.02505,1.26982,2.0
rh_inferiortemporal,-0.237772,0.597719,-0.356302,-0.006126,0.035829,0.430399,0.596938,0.044275,0.340853,-0.018849,1.073609,3.0
rh_insula,-0.196712,0.286832,0.183253,0.255122,-0.269503,0.128273,0.174397,-0.049489,0.008762,-0.018137,-0.157859,
rh_isthmuscingulate,-0.015963,0.312799,-0.134811,-0.041402,0.124538,0.258227,0.241617,0.151402,0.146513,-0.020285,0.140324,
rh_lateraloccipital,0.012483,0.611518,-0.533027,-0.477647,0.059589,0.543242,0.518963,0.05784,0.058432,-0.015932,-0.671701,
rh_lateralorbitofrontal,-0.336361,0.435831,-0.035485,0.24471,0.02182,0.369968,0.449409,0.200168,0.280106,-0.022397,0.928219,3.0
rh_lingual,-0.20353,0.465238,-0.29293,-0.468276,-0.185364,0.357439,0.357076,-0.007819,-0.161144,-0.019309,-1.071085,
rh_medialorbitofrontal,-0.232264,0.4021,-0.004739,0.25064,0.061062,0.426674,0.348359,0.259288,0.248014,-0.023001,0.52982,1.0
rh_middletemporal,-0.24688,0.587477,-0.41265,-0.00914,0.160628,0.42707,0.586034,0.108005,0.413279,-0.018807,0.873027,
rh_paracentral,0.101933,0.543511,-0.512092,-0.408278,0.351634,0.590555,0.421128,0.125121,0.03552,-0.023607,-0.947721,1.0
rh_parahippocampal,0.093246,0.278191,-0.055835,0.005188,-0.037272,0.175908,0.200495,-0.079195,0.007749,-0.014903,-1.068818,
rh_parsopercularis,-0.014603,0.502106,-0.337011,0.067584,0.366158,0.409229,0.488335,0.132181,0.372645,-0.015302,0.77337,
rh_parsorbitalis,-0.189742,0.467744,-0.230742,0.138885,0.318214,0.502674,0.550245,0.353912,0.419608,-0.0272,1.28266,2.0
rh_parstriangularis,-0.143022,0.515894,-0.363787,0.08868,0.440485,0.468806,0.592759,0.282691,0.467916,-0.021873,1.198229,3.0
rh_pericalcarine,-0.041686,0.240585,-0.134588,-0.534216,-0.232062,0.17608,0.133493,-0.180092,-0.365876,-0.012884,-1.729789,
rh_postcentral,-0.284594,0.443344,-0.336384,-0.286695,0.1846,0.382699,0.399393,0.2231,0.125991,-0.018663,-0.795615,
rh_posteriorcingulate,-0.146741,0.365956,-0.092272,0.042821,0.139663,0.300391,0.284135,0.15517,0.115944,-0.020224,-0.010267,
rh_precentral,0.045694,0.447841,-0.433709,-0.30686,0.349045,0.421884,0.374315,-0.117684,0.019621,-0.006059,-1.376269,
rh_precuneus,0.003747,0.635956,-0.594774,-0.42345,0.361902,0.678408,0.538143,0.281428,0.214086,-0.025236,0.595052,1.0
rh_rostralanteriorcingulate,-0.123604,0.225917,0.213059,0.284535,-0.116713,0.131781,0.133533,0.051555,0.001768,-0.020237,-0.65563,
rh_rostralmiddlefrontal,-0.105939,0.577647,-0.439876,0.006317,0.543185,0.603061,0.61426,0.35383,0.429252,-0.024395,1.135914,2.0
rh_superiorfrontal,-0.154417,0.646734,-0.520172,-0.047278,0.599205,0.62801,0.613287,0.292153,0.374553,-0.021071,-0.022609,
rh_superiorparietal,-0.029442,0.624228,-0.688205,-0.560416,0.442839,0.692579,0.560747,0.251431,0.198121,-0.022813,0.221195,1.0
rh_superiortemporal,-0.047614,0.637872,-0.464868,-0.023684,0.271609,0.480821,0.604183,0.087637,0.396849,-0.016064,0.675618,
rh_supramarginal,-0.250058,0.552035,-0.502222,-0.220593,0.376054,0.473052,0.628149,0.200612,0.383024,-0.019988,1.365097,3.0
rh_temporalpole,-0.065269,0.288109,0.002388,0.022319,-0.12458,0.184897,0.225559,-0.309032,-0.020214,-0.006731,-0.709956,
rh_transversetemporal,-0.185891,0.450255,-0.202295,-0.068533,0.031935,0.336801,0.362202,0.096391,0.054512,-0.018578,-0.98988,
